update_Id,video_id,views,release_date,likes,comments,videos,subscribers,views_total,price,dates_passed
UCkH3CcMfqww9RsZvPRPkAJA,IdA6VP7LNgc,955648,2023-02-22T08:00:06Z,5891,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,034iiJ9b3pg,1470229,2023-02-21T08:00:00Z,8690,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,dWMeCxQi7kM,200956,2023-02-14T07:00:10Z,3593,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,OMw-xmBEWuE,1161737,2023-02-09T07:00:11Z,20676,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,kisVcQenf5o,323418,2023-02-09T02:07:00Z,2147,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,oLPYq9wS16U,169724,2023-02-09T02:06:46Z,1158,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,pwxiwghOOk8,1007581,2023-02-08T23:09:44Z,7115,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,EZVzHP_eAsc,224628,2023-02-08T23:00:06Z,2621,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,WG2XHZK5GBo,143372,2023-02-08T22:47:34Z,710,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,cbhyFGvbvJ0,159603,2023-02-08T22:47:42Z,2261,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,H9RxJH0Ep5g,263711,2023-02-08T22:47:54Z,2876,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,FH0HuhsJZ38,1917762,2023-02-08T22:47:06Z,41945,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,_DiCZDL2WMA,49185,2023-02-08T22:46:37Z,315,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,yo-C2MTUhCQ,2623022,2023-02-08T22:48:07Z,39690,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,Y5QPpyiWPx8,2076058,2023-02-08T22:47:59Z,14681,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,Dq9SN5GjMBY,557043,2023-02-08T22:44:50Z,4387,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,aKIDQer9WDU,285227,2023-02-08T22:45:57Z,3053,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,V9KS3jByNpY,476695,2023-02-08T22:45:08Z,6239,,3214,3020000,1676066003,35479,2727
